,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,H2O,FC,NEE_PI,CH4,FCH4,H_inst_af,LE_inst_af,G_inst_af,G_2_1_1,WD,WS,USTAR,ZL,MO_LENGTH,W_SIGMA,V_SIGMA,U_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,TS_1_1_1,TS_2_1_1,WTD,SWC,Rn_inst_af,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,P,SWP,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_019031_20130417,-83.34699461777119,41.628424339504896,2013-04-17 16:12:11.085999872,0.0284699999999999,0.0357575,0.06455,0.0574549999999999,0.2906825,0.1705625,0.0897399999999999,290.04801332,21824.0,0.131257375,0.6699292664536284,0.426459496153266,0.4124817615068312,290.04801332,0.8288306390915557,0.9582883063909156,0.972735141109002,-83.34692522368981,41.62840112141678,-0.6699292659759521,0.6699292659759521,1,1,-0.6365760452661285,-290.04801332,290.04801332,291.3994352253531,-291.3994352253531,291.3994352253531,0.7721629791009994,0.698102607215113,11.796573103946251,384.5553237168685,855.1039963504002,0.7721629791009994,1.1190890510163318,0.698102607215113,294.22181222606804,640.2592888619531,44.74483475702728,0.0304748812477866,0.889745216888816,253.5069174207187,7.293748277168726,1.5091713699169134,8.212085823162177,0.0304748812477866,0.889745216888816,0.9872194253229144,0.4660570323467254,-134.29957580566406,0.5009237878922487,2.0435931823342908,342.0075366842071,0.5743060211666123,0,-83.34699461777119,41.628424339504896,101.22874542046222,8.62224040725339,62.38132761473376,5.175208108493534,165.02771175991086,41.31355702593626,-82.53351718006196,0.7151296734809875,206041,288.16126628,336780,42.436025002881976,-83.01686557537039,0.1499900668859481,618.2746859222343,75.99068839462836,299.18438078,57.956302651000485,2013-04-17 16:12:11.085999872+00:00,2013-04-17 16:00:00+00:00,2013-04-17,119.64219294069136,73.27934469953337,8.008593694970756,4.905163333333334,-1.7040755791666664,156.17931908333333,79.6988866296333,30.232608026837863,201304171200.0,201304171230.0,393.137068004252,6.90031786719243,-11.1578929270981,-11.1578929270981,-9999.0,-9999.0,,236.496812723278,28.78541,27.3775,138.434,5.74585,0.53897,-0.02678,-59.4324122479462,0.56767,1.43355,1.44641,8.61089,0.84914,100.621,60.55589,9.026621,10.54602,8.881141,-0.3514665,53.39362,700.465,2079.47034092,880.7394,137.2463,337.7973,380.8256,0.0,-2.2689605,OH,CRO,10.1,849.0,41.6285,-83.3471,180.0,US-CRT,2013-04-17 12:00:00,2013-04-17 12:00:00-04:00,2013-04-17
1,1,0,0,LC08_020031_20130526,-83.34699461777119,41.628424339504896,2013-05-26 16:18:36.503000064,,,,,,,,,,,,,,,,,,-83.34692522368981,41.62840112141678,,,1,1,,,,,,,0.7826777484918501,0.702363793996756,11.855760548185431,,938.8722538207112,0.7826777484918501,1.7791311038868982,0.702363793996756,305.6219704183277,,,,,,,,,,,,0.3688863813877105,-107.4436264038086,,,,,0,-83.34699461777119,41.628424339504896,,15.659633952658112,39.47791101298211,1.972128784484716,350.81871005024766,41.747230800966776,-82.63255269786032,0.8111679553985596,99416,291.26482844,149017,42.4651787992248,-83.27760205597954,0.1630692332983017,647.8989626428327,108.51102888666632,308.35834646,,2013-05-26 16:18:36.503000064+00:00,2013-05-26 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-CRT,,,2013-05-26
2,2,0,0,LC08_019031_20130604,-83.34699461777119,41.628424339504896,2013-06-04 16:12:25.190000128,0.0189824999999999,0.0266549999999999,0.0589399999999999,0.0356749999999999,0.45956,0.1355549999999999,0.0665299999999999,295.4792471,21824.0,0.16695353,0.8559269841590358,0.7190841404019482,0.6388717237637344,295.4792471,2.6876756502517334,0.9768767565025172,0.9788693296458308,-83.34692522368981,41.62840112141678,-0.8559269905090332,0.8559269905090332,1,1,-0.772651880424301,-295.4792471,295.4792471,296.9656970878388,-296.9656970878388,296.9656970878388,0.767432073454529,1.138912532557048,17.919377433634235,422.21219206562586,924.7319862895502,0.767432073454529,2.155948223700147,1.138912532557048,306.0234905282972,647.0797596498339,36.78345080108931,0.1087676946908951,0.4963931336622805,176.97671788653085,11.467631362169698,1.6908055759709697,14.719510779554955,0.1087676946908951,0.4963931336622805,0.6116353572681337,0.2766808867454529,-80.47393035888672,0.6380763018946597,5.184380287188147,433.31959096221374,0.7100150937822686,0,-83.34699461777119,41.628424339504896,206.61114140686968,18.69515165627132,52.826525240127935,2.46931461156352,344.42993611404665,41.55881184317072,-81.37115969443241,0.8806488513946533,263363,290.85466604,10646,42.407270117262655,-82.92954409473357,0.0139818526804447,334.6860449078338,80.0566756742087,304.70448308,147.02902494465584,2013-06-04 16:12:25.190000128+00:00,2013-06-04 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-CRT,,,2013-06-04
3,3,1,1,LC08_020031_20130611,-83.34699461777119,41.628424339504896,2013-06-11 16:18:33.615000064,0.0154074999999999,0.021925,0.05718,0.03342,0.454555,0.13055,0.0555849999999999,301.03011158,21824.0,0.162880615,0.8630257697627952,0.7063001568121021,0.6393911789265921,301.03011158,2.698897413501078,0.9769889741350108,0.9789063614645536,-83.34692522368981,41.62840112141678,-0.8630257844924927,0.8630257844924927,1,1,-0.7765249592074022,-301.03011158,301.03011158,302.5951614377211,-302.5951614377211,302.5951614377211,0.7476823008050093,1.8795551496136973,28.206826880123565,454.8963788497941,901.773133824528,0.7476823008050093,2.894083648723375,1.8795551496136973,343.72737286140193,635.813245740901,42.7632833942096,0.1090856882964065,0.6778780164752736,225.5408712304412,8.94956928876788,1.7186754675722966,10.778729954735924,0.1090856882964065,0.6778780164752736,0.7967409720376425,0.4522312581539154,-135.1243133544922,0.5441265164631567,3.43132287849749,367.5090911162503,0.6196933048642669,1,-83.34699461777119,41.628424339504896,155.82665078208774,23.49170345166772,64.944741678175,3.370804073852568,251.3801440395775,42.41023810186223,-83.84942860900999,0.8916109204292297,310431,298.7947265,454061,41.40167026776587,-84.61010476815856,0.2390086501836776,654.2318663865447,114.54726644094242,311.71826012,97.31231683418882,2013-06-11 16:18:33.615000064+00:00,2013-06-11 16:00:00+00:00,2013-06-11,230.0245058740278,211.4977842516856,6.208058568948266,5.708046744186047,9.828406028333331,206.30045958333332,-20.733777440871645,-39.76051088797606,201306111200.0,201306111230.0,367.086149625937,23.9297140667453,-54.4335710684397,-54.4335710684397,-9999.0,-9999.0,77.3539,647.452301413523,16.86629,121.6419,357.614,2.56316,0.3904,-0.01896,-68.5654008438819,0.44703,1.07082,1.06707,24.2483,0.4383,99.3328,64.81105,25.10699,22.39094,19.77768,-1.812465,59.0759,741.5225,1966.69202812,928.3183,145.6806,427.3134,468.4309,0.0,-67.03052,OH,CRO,10.1,849.0,41.6285,-83.3471,180.0,US-CRT,2013-06-11 12:00:00,2013-06-11 12:00:00-04:00,2013-06-11
4,4,2,2,LC08_020031_20130627,-83.34699461777119,41.628424339504896,2013-06-27 16:18:30.560000000,,,,,,,,,,,,,,,,,,-83.34692522368981,41.62840112141678,,,1,1,,,,,,,0.7318904987205438,2.631075272914009,38.64536376474905,,878.5147211526962,0.7318904987205438,3.264146854769749,2.631075272914009,350.20359711949453,,,,,,,,,,,,0.1191604137420654,-35.71406555175781,,,,,2,-83.34699461777119,41.628424339504896,,25.504080437977034,80.60529718720647,2.7967666821053334,251.9305832197566,42.09451843643728,-84.53493099345651,0.9069314002990724,109021,299.71417388,192099,42.35525830430368,-83.40803360963622,0.1175459548830986,196.96595397692644,74.83363492240147,321.54506762,,2013-06-27 16:18:30.560000+00:00,2013-06-27 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-CRT,,,2013-06-27
5,5,0,0,LC08_020031_20130713,-83.34699461777119,41.628424339504896,2013-07-13 16:18:32.604000000,0.0369674999999999,0.0523675,0.0773375,0.1003,0.1620375,0.2009774999999999,0.1295049999999999,308.38569062,21824.0,0.1126186175,0.2353361604802973,0.1125708268565411,0.1214767081509174,308.38569062,0.0407475316897403,0.9504074753168974,0.9701344668545762,-83.34692522368981,41.62840112141678,-0.2353361546993255,0.2353361546993255,1,1,-0.3538381201044386,-308.38569062,308.38569062,310.1028774640366,-310.1028774640366,310.1028774640366,0.7426840199764366,2.0208912021813186,30.16997005102828,487.3823247662733,879.8066991565055,0.7426840199764366,3.018636025509369,2.0208912021813186,356.27754263579817,631.9506000725854,107.87521459342643,0.0059384869505058,0.5018924928879004,254.6069468108657,11.498118103751358,2.5597691500184823,14.55822548728772,0.0059384869505058,0.5018924928879004,0.5979302636156422,0.291812002658844,-87.93197631835938,0.4018993966228798,3.666116872503053,269.4684386682933,0.5141787730059482,0,-83.34699461777119,41.628424339504896,199.19180742259533,24.19287216091419,66.94716372240705,3.4624631415937603,304.0246908601748,41.42517692148962,-84.5841287747437,0.9286118745803832,401566,301.33089734,569764,42.21149948384705,-84.1057530877951,0.3117069005966186,493.4717202690314,121.72380406019106,316.2266285,103.9710745041866,2013-07-13 16:18:32.604000+00:00,2013-07-13 16:00:00+00:00,2013-07-13,58.35281532972978,42.77360046131312,194.33358513700503,142.44980434782607,7.612048365208333,240.25470660416667,47.41925342981915,-20.04374222777648,201307131200.0,201307131230.0,367.372302251577,21.812693190356,15.6018497237166,15.6018497237166,-9999.0,-9999.0,410.155,102.10870514064,21.45236,136.5506,126.626,3.30081,0.47166,-0.05648,-23.0169971671388,0.55292,1.31861,1.18164,25.9714,1.46845,100.276,60.18718,26.40344,23.36258,22.05185,-2.018471,60.97667,750.7377,1863.19888888,923.7379,123.8838,427.0917,476.208,0.0,-24.559932,OH,CRO,10.1,849.0,41.6285,-83.3471,180.0,US-CRT,2013-07-13 12:00:00,2013-07-13 12:00:00-04:00,2013-07-13
6,6,0,0,LC08_019031_20130823,-83.34699461777119,41.628424339504896,2013-08-23 16:12:25.039000064,0.0685649999999999,0.0823149999999999,0.114215,0.1447125,0.2518525,0.3247825,0.2320525,308.7069845,21824.0,0.1763539375,0.2701700856101773,0.1782381144091057,0.1792508072476618,308.7069845,0.1585097623269777,0.9515850976232696,0.970523082215679,-83.34692522368981,41.62840112141678,-0.2701700925827026,0.2701700925827026,1,1,-0.3759894008618628,-308.7069845,308.7069845,310.2981819210342,-310.2981819210342,310.2981819210342,0.7390022236579612,1.7415006334073868,26.289263910312265,490.02305444643184,809.7231167638488,0.7390022236579612,2.9264018999524013,1.7415006334073868,349.4361501889054,509.420435481949,96.10318856183588,0.0082165040102674,0.5440522042989685,353.2093482363221,10.470460650649889,3.22755694854942,13.430078996286598,0.0082165040102674,0.5440522042989685,0.6546887024737538,0.3063315451145172,-91.82656860351562,0.0896652095231497,0.8084555557519858,60.10789868379101,0.1454279953998841,0,-83.34699461777119,41.628424339504896,155.27604776410442,23.676131759352067,59.50996113813734,3.636412510625266,283.5547141158257,41.26616485298206,-82.58111446937477,0.9253720641136168,298307,299.76202616,373110,42.39618811811423,-82.9929905047119,0.1940091252326965,497.8372168119887,106.08922832934172,314.57230682,22.92779956112632,2013-08-23 16:12:25.039000064+00:00,2013-08-23 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-CRT,,,2013-08-23
7,7,1,1,LC08_020031_20130814,-83.34699461777119,41.628424339504896,2013-08-14 16:18:33.430000128,0.0519,0.06213,0.0913074999999999,0.1087699999999999,0.2220975,0.309575,0.218055,304.10291156,21824.0,0.15152933,0.3425162640634092,0.2011146465730963,0.2045948962981462,304.10291156,0.2144381639973905,0.9521443816399738,0.9707076459411914,-83.34692522368981,41.62840112141678,-0.3425162732601166,0.3425162732601166,1,1,-0.4173194428933808,-304.10291156,304.10291156,305.8077478667618,-305.8077478667618,305.8077478667618,0.7575785677325866,1.1871746294007612,18.58973297357652,461.7088305229992,850.3190372335929,0.7575785677325866,2.025694257491037,1.1871746294007612,315.0531072955611,559.7379787420266,88.74720375607897,0.0094742595122941,0.4438836276167424,407.6413454445034,11.687912456737328,4.070559290870492,16.460765000658498,0.0094742595122941,0.4438836276167424,0.5618199584805522,0.30966717004776,-90.62805938720705,0.0940873845439902,0.6879211582546377,63.34942954144424,0.1345024847744296,1,-83.34699461777119,41.628424339504896,143.48563706048503,17.70249134221001,58.60581501924972,2.925051255962664,245.4287734542065,41.09777921720514,-84.84231770561219,0.9916831254959106,162955,292.66279862,285266,41.71759920045584,-84.17667047356991,0.4138640165328979,480.263837100266,89.35411911430424,305.12148152,19.509444048101525,2013-08-14 16:18:33.430000128+00:00,2013-08-14 16:00:00+00:00,2013-08-14,74.24805178614788,60.5424243805683,147.23687106321697,120.058061025641,-5.48179656875,208.6306995625,33.512010725040724,-7.372426718114838,201308141200.0,201308141230.0,372.375970360027,12.6127713291195,3.31142841355137,3.31142841355137,-9999.0,-9999.0,345.673,153.544944200974,22.41445,98.33672,50.607,2.93911,0.37667,-0.13913,-13.8719183497448,0.39293,1.13417,1.0261,19.0572,1.40279,100.177,48.62064,19.69245,20.10479,19.66659,-1.31258,51.15753,727.7046,1829.37095336,921.7192,114.5566,379.5253,458.9833,0.0,-124.328785,OH,CRO,10.1,849.0,41.6285,-83.3471,180.0,US-CRT,2013-08-14 12:00:00,2013-08-14 12:00:00-04:00,2013-08-14
8,8,2,2,LC08_020031_20130830,-83.34699461777119,41.628424339504896,2013-08-30 16:18:36.098000128,,,,,,,,,,,,,,,,,,-83.34692522368981,41.62840112141678,,,1,1,,,,,,,0.7234443109088421,2.300936864812332,34.059775377751464,,775.1540835052217,0.7234443109088421,3.742565260113518,2.300936864812332,352.39929966010413,,,,,,,,,,,,0.3106849193572998,-93.18569946289062,,,,,2,-83.34699461777119,41.628424339504896,,27.829492678308625,61.48020688736209,2.998124158092618,236.90970939913143,42.007211767220646,-84.71589927694707,0.9069309830665588,230929,299.93634518,342648,42.32342614940018,-83.48181496573699,0.1432138383388519,489.58825808413695,99.2359625632794,314.01175154,,2013-08-30 16:18:36.098000128+00:00,2013-08-30 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-CRT,,,2013-08-30
9,9,0,0,LC08_019031_20130908,-83.34699461777119,41.628424339504896,2013-09-08 16:12:23.602999808,,,,,,,,,,,,,,,,,,-83.34692522368981,41.62840112141678,,,1,1,,,,,,,0.7235141565786753,2.0823035659696627,31.022981440479125,,749.3770732651747,0.7235141565786753,2.6937789398655445,2.0823035659696627,328.7839976317691,,,,,,,,,,,,0.1158910691738128,-34.16259765625,,,,,0,-83.34699461777119,41.628424339504896,,22.306804473826706,77.30046200723498,4.918824102877389,183.9712575524456,42.5695734159728,-81.87565976429214,0.9092791080474854,64707,294.78197102,92983,42.45856261450262,-83.0409395348722,0.082485057413578,292.04342276023345,77.28281355303305,314.10403808,,2013-09-08 16:12:23.602999808+00:00,2013-09-08 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-CRT,,,2013-09-08
10,10,1,1,LC08_019031_20130924,-83.34699461777119,41.628424339504896,2013-09-24 16:12:15.789999872,0.0834424999999999,0.1088525,0.1563725,0.1769975,0.3119949999999999,0.3195024999999999,0.2376349999999999,296.80543886,21824.0,0.209743915,0.2760727414019641,0.216677407109879,0.2047500360215066,296.80543886,0.2147894385533315,0.9521478943855332,0.970708805147226,-83.34692522368981,41.62840112141678,-0.2760727405548095,0.2760727405548095,1,1,-0.3322657955558401,-296.80543886,296.80543886,298.06732416407056,-298.06732416407056,298.06732416407056,0.741786862102515,1.0374106673643806,16.50952701070877,418.9622470167672,711.7199274993112,0.741786862102515,1.7408050679727003,1.0374106673643806,305.96541111938416,434.80307845744807,57.655302128085545,0.0094825235815094,0.244108103030238,285.02166073101694,16.53922717080066,3.910502681347481,29.93208333167832,0.0094825235815094,0.244108103030238,0.3435614175768025,0.4878436923027038,-141.499755859375,0.1358029905013857,0.8729489955552471,92.12611559834556,0.2442706052650619,1,-83.34699461777119,41.628424339504896,101.01359921797052,15.32005930864974,59.59372973175704,1.6084535406988747,223.8378379067458,41.04120911475551,-82.44687036171852,0.8945084810256958,274641,290.05143134,363359,41.37707078165824,-81.73857305178875,0.27273029088974,470.3861624279765,66.64626573352648,300.7429979,24.756833513946805,2013-09-24 16:12:15.789999872+00:00,2013-09-24 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-CRT,,,2013-09-24
11,11,0,0,LC08_019031_20131010,-83.34699461777119,41.628424339504896,2013-10-10 16:12:15.592999936,0.0674374999999999,0.0818475,0.11163,0.1350875,0.188905,0.2505875,0.212005,300.30890936000003,21824.0,0.1475081425,0.1661072401367314,0.0971032758090285,0.0979696417139718,300.30890936000003,-0.0037751401736062,0.949962248598264,0.9699875420374272,-83.34692522368981,41.62840112141678,-0.1661072373390197,0.1661072373390197,1,1,-0.2571247941171576,-300.30890936000003,300.30890936000003,301.4222089586028,-301.4222089586028,301.4222089586028,0.7246087382358584,1.1449387242869211,18.003080614288745,438.0889234226128,629.7963139742205,0.7246087382358584,1.8687451624751856,1.1449387242869211,312.73962627230964,395.8981447233476,54.70997049410494,0.0052035686310733,0.206388791171709,246.8312568945275,18.175131212593897,3.7719766367123526,35.40242684865616,0.0052035686310733,0.206388791171709,0.2935063651377331,0.3671526312828064,-106.8959732055664,0.1395440065899704,0.8335807773686484,94.35691733471518,0.2765538915522822,0,-83.34699461777119,41.628424339504896,84.92180783833686,16.42926955342226,61.267782642467424,1.441882055251021,192.50393147371028,41.1813822811193,-81.99533662869759,0.8923786282539368,185142,291.14861576,305964,42.494712981956674,-83.0589079450388,0.1134957298636436,291.483949582388,51.03989651892893,300.57893294,23.64035084617487,2013-10-10 16:12:15.592999936+00:00,2013-10-10 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-CRT,,,2013-10-10
12,12,1,1,LC08_020031_20131001,-83.34699461777119,41.628424339504896,2013-10-01 16:18:26.275000064,,,,,,,,,,,,,,,,,,-83.34692522368981,41.62840112141678,,,1,1,,,,,,,0.7164566276383726,1.706896718352967,25.808619104606024,,660.1237286998853,0.7164566276383726,2.6835638178380217,1.706896718352967,325.604590321866,,,,,,,,,,,,0.3547082245349884,-104.23788452148438,,,,,1,-83.34699461777119,41.628424339504896,,22.24433844276662,63.605594434050246,4.155783564102822,179.2982935198699,42.69396470294167,-84.39153873340658,0.94272118806839,44681,293.86935968,63261,41.08085168177055,-84.075082578475,0.2049591243267059,472.98138144532265,64.9093593271487,303.09459566,,2013-10-01 16:18:26.275000064+00:00,2013-10-01 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-CRT,,,2013-10-01
13,13,0,0,LC08_019031_20131127,-83.34699461777119,41.628424339504896,2013-11-27 16:11:59.276999936,0.0617725,0.076595,0.0988425,0.1213099999999999,0.16707,0.2318325,0.2063674999999999,276.03413132000003,21824.0,0.1334611425,0.1586795200776753,0.0866359830893226,0.0870646135112509,276.03413132000003,-0.0238324183162152,0.9497616758168378,0.9699213530195564,-83.34692522368981,41.62840112141678,-0.1586795151233673,0.1586795151233673,1,1,-0.256578761810746,-276.03413132000003,276.03413132000003,277.1673162249787,-277.1673162249787,277.1673162249787,0.712746346728637,0.2428693838427928,5.473430654465891,312.64309534160145,427.37759231190495,0.712746346728637,0.5060119292014401,0.2428693838427928,241.8689648499929,287.41406860547056,5.524501721999618,0.0048942370803758,0.7795370599608348,540.6705026110413,7.830287238008482,3.25913242135124,9.373081097909704,0.0048942370803758,0.7795370599608348,0.8971719030057446,0.7337366938591003,-200.10870361328125,-0.37391359277323,-0.5370224063132951,-258.7809357275704,-0.9180223964604788,0,-83.34699461777119,41.628424339504896,16.868983508508876,-2.5582276447723338,47.99677039750343,5.477651129747569,95.42592759665534,42.03055627048609,-82.91882980529986,0.6441775560379028,87381,272.72548796,109468,42.31886510806166,-83.10194480977643,0.1351148784160614,301.3468121669636,5.2560910836497925,275.33343722,-15.22995544304505,2013-11-27 16:11:59.276999936+00:00,2013-11-27 16:00:00+00:00,2013-11-27,33.900076603901155,19.92452265205336,17.900028791932165,10.520611304347826,-17.554773229166667,34.245332166666664,21.35497143943214,7.105427357601002e-15,201311271100.0,201311271130.0,394.730846903046,3.30401884084813,-9999.0,-9999.0,-9999.0,-9999.0,124.125,43.4219691059953,-10.86365,-9.118269,12.982,6.851,0.47315,-0.0262,-75.9541984732824,0.56249,1.50237,1.4798,-3.49837,0.4728,99.5737,54.18669,-3.197874,0.07960587,9.951933,-0.9506117,49.96873,312.5027,924.597628736,446.4307,77.58005,256.2827,312.6306,0.0,-5.663958,OH,CRO,10.1,849.0,41.6285,-83.3471,180.0,US-CRT,2013-11-27 11:00:00,2013-11-27 11:00:00-05:00,2013-11-27
