,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,TAU,H_inst_af,LE_inst_af,FC,FH2O,SH,SLE,SC,WS,WS_MAX,WD,WD_SIGMA,USTAR,MO_LENGTH,ZL,T_SONIC,TA,PA,RH,CO2_MIXING_RATIO,CO2,H2O_MIXING_RATIO,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,FETCH_MAX,FETCH_70,FETCH_80,FETCH_90,TAU_SSITC_TEST,H_SSITC_TEST,LE_SSITC_TEST,FC_SSITC_TEST,TA_1_1_1,RH_1_1_1,Rn_inst_af,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,SWC_1_1_1,TS_1_1_1,G_inst_af,G_2_1_1,T_CANOPY_1_1_1,P_RAIN_1_1_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_016032_20150128,-77.84876608978924,40.860903760753175,2015-01-28 15:52:11.279000064,,,,,,,,,,,,,,,,,,-77.84884417532983,40.86078425103194,,,1,1,,,,,,,0.7357785882788992,0.1502698068016805,4.145275263661812,,480.85416053220086,0.7357785882788992,0.2720427256809685,0.1502698068016805,208.4164997505097,,,,,,,,,,,,0.3288325071334839,-86.59687042236328,,,,,0,-77.84876608978924,40.860903760753175,,-10.616335514731688,55.23757579826111,2.3169899130407607,143.58931111899443,39.98936814987976,-77.92295145454025,0.9941464066505432,6187,263.34644108,9854,39.603308547434246,-78.82117574439134,0.206342414021492,321.80801992867225,3.4289555652617345,273.18350264000003,,2015-01-28 15:52:11.279000064+00:00,2015-01-28 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-HWB,,,2015-01-28
1,1,0,0,LC08_016032_20150213,-77.84876608978924,40.860903760753175,2015-02-13 15:52:02.348000000,,,,,,,,,,,,,,,,,,-77.84884417532983,40.86078425103194,,,1,1,,,,,,,0.7574911488998259,0.1208554380737198,3.74492550587632,,563.6065451765927,0.7574911488998259,0.1984675014238368,0.1208554380737198,207.0936255331225,,,,,,,,,,,,0.3467337787151336,-91.370361328125,,,,,0,-77.84876608978924,40.860903760753175,,-14.502409974061678,60.89432134061449,2.504618174164289,170.1592724998916,39.89758660717911,-77.46538224389323,0.717426061630249,118501,263.51734208,187878,39.73465435657741,-77.19457691397292,0.1412090808153152,363.4545010262604,2.9610602112404245,273.76114802,,2015-02-13 15:52:02.348000+00:00,2015-02-13 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-HWB,,,2015-02-13
2,2,0,0,LC08_016032_20150402,-77.84876608978924,40.860903760753175,2015-04-02 15:51:36.801000192,,,,,,,,,,,,,,,,,,-77.84884417532983,40.86078425103194,,,1,1,,,,,,,0.7658248857323241,0.724165117031021,11.956384540541949,,801.2777874315993,0.7658248857323241,1.3174538772234945,0.724165117031021,276.23097536015604,,,,,,,,,,,,0.3496569693088531,-99.11070251464844,,,,,0,-77.84876608978924,40.860903760753175,,11.054232488075378,54.96701854619636,2.171121078485548,221.4015084364396,39.39106656694331,-77.21233179692271,0.551009476184845,212027,283.45123472,312256,39.57452549818196,-77.76959300393175,0.2500077188014984,496.1616073888634,62.04087071572148,296.0944907,,2015-04-02 15:51:36.801000192+00:00,2015-04-02 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-HWB,,,2015-04-02
3,3,1,1,LC08_016032_20150418,-77.84876608978924,40.860903760753175,2015-04-18 15:51:36.734999808,,,,,,,,,,,,,,,,,,-77.84884417532983,40.86078425103194,,,1,1,,,,,,,0.7638624370088607,0.9981460525323052,15.685453220554598,,854.6263160523807,0.7638624370088607,2.25674929955646,0.9981460525323052,320.60180103412245,,,,,,,,,,,,0.5633905529975891,-165.71726989746094,,,,,1,-77.84876608978924,40.860903760753175,,19.42794475584162,44.22937243088899,1.8491508069133948,293.39694583191323,39.78738104773397,-77.84081766461418,0.7040359973907471,487557,294.14280128,681804,39.52169059220837,-77.33268208767309,0.23077093064785,521.6216121762345,89.3153009194226,304.5370001,,2015-04-18 15:51:36.734999808+00:00,2015-04-18 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-HWB,,,2015-04-18
4,4,0,0,LC08_016032_20150504,-77.84876608978924,40.860903760753175,2015-05-04 15:51:23.900999936,0.036665,0.0375725,0.0671074999999999,0.0381499999999999,0.51643,0.2085125,0.0907025,299.13311048,21824.0,0.196996345,0.8624184067222042,0.8169937710801491,0.6802897836105368,299.13311048,4.513125241348593,0.98,0.98,-77.84884417532983,40.86078425103194,-0.8624184131622314,0.8624184131622314,1,1,-0.7699976436818542,-299.13311048,299.13311048,301.4274248335562,-301.4274248335562,301.4274248335562,0.7623699819041174,1.2188975552712913,18.69003276702389,444.9047907824625,890.8941535338619,0.7623699819041174,2.704702759808056,1.2188975552712913,323.9385094734599,587.9462100073505,40.02466815275032,0.1372746773641021,0.3943845875951134,197.34523895017497,13.079489548052775,2.183756905552258,18.52674853851093,0.1372746773641021,0.3943845875951134,0.5209589048426858,0.3323700726032257,-98.00169372558594,0.5184682882038747,3.6485081882152968,350.5763029044252,0.6398293845461843,0,-77.84876608978924,40.860903760753175,160.65722480359014,22.37337575382446,45.065859856548265,1.901119706352132,278.36267312846456,39.758126540734615,-78.84583383010501,0.8706281185150146,558323,294.85716746,767690,39.96862313837944,-77.62704181453572,0.2185288220643997,494.7102528691092,104.3913723620544,309.88961942000003,103.47169221778582,2015-05-04 15:51:23.900999936+00:00,2015-05-04 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-HWB,,,2015-05-04
5,5,0,0,LC08_016032_20150621,-77.84876608978924,40.860903760753175,2015-06-21 15:51:32.903000064,0.0356199999999999,0.03023,0.05113,0.0135375,0.3885,0.1180375,0.04277,299.55010892,21824.0,0.14156828,0.9326555358641916,0.7541482300884956,0.6235259066280503,299.55010892,2.399242020324736,0.9739924202032472,0.9779174986670716,-77.84884417532983,40.86078425103194,-0.9326555132865906,0.9326555132865906,1,1,-0.7673953096922411,-299.55010892,299.55010892,301.94309151358857,-301.94309151358857,301.94309151358857,0.7411515442711083,2.294630778121745,33.331500656171585,444.6482254086742,894.6220804528188,0.7411515442711083,2.905345099176486,2.294630778121745,345.46893807859243,659.8078729686314,23.80639084099902,0.0997803104957761,0.5948144199488784,118.15563680825976,10.421519269278283,1.048534762129492,12.28393905189282,0.0997803104957761,0.5948144199488784,0.6871305563074063,0.3529673814773559,-105.52752685546876,0.7662269187608088,4.446669452908316,517.8458453193725,0.814221129779461,0,-77.84876608978924,40.860903760753175,153.7886652404879,23.556171491591776,78.97962891816718,2.992861301499129,244.297189229934,40.766526737565,-77.3426233235705,0.9279600381851196,134421,298.97246354000004,189693,39.591820816777,-77.74687859852149,0.6104167103767395,572.7642743488482,94.3786598483697,310.1083727,126.10754568447985,2015-06-21 15:51:32.903000064+00:00,2015-06-21 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-HWB,,,2015-06-21
6,6,0,0,LC08_016032_20150707,-77.84876608978924,40.860903760753175,2015-07-07 15:51:42.494999808,0.0189824999999999,0.027755,0.067905,0.0364174999999999,0.48464,0.1905,0.0745325,299.4270602,21824.0,0.18181332,0.8602169626192888,0.7495447271121903,0.6584680588507504,299.4270602,3.2188148352589354,0.98,0.98,-77.84884417532983,40.86078425103194,-0.8602169752120972,0.8602169752120972,1,1,-0.7542100643386511,-299.4270602,299.4270602,301.89534019767734,-301.89534019767734,301.89534019767734,0.7449932246819174,2.064397798447016,30.19787169749903,446.6561520411401,890.7768044790934,0.7449932246819174,3.178135944452183,2.064397798447016,332.2971051316264,607.8167272656124,41.65894351511602,0.1214309477232739,0.4372910774207733,197.61497727929503,12.296962998765268,2.060670770851061,16.708925608395923,0.1214309477232739,0.4372910774207733,0.5610621111668872,0.3616284728050232,-107.11328125,0.545286472742479,3.890958486129061,368.54280647120135,0.6509542340472648,0,-77.84876608978924,40.860903760753175,168.328678539428,25.05481745924485,64.95624587899299,2.143439574020705,283.6578839806172,40.93773225806655,-77.3215832083241,0.8993402123451233,368155,296.1970313,510312,40.21248953408072,-76.93637271626197,0.2624535858631134,480.67385345593607,104.32509581996877,310.46042876,110.34758266662016,2015-07-07 15:51:42.494999808+00:00,2015-07-07 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-HWB,,,2015-07-07
7,7,1,1,LC08_016032_20150723,-77.84876608978924,40.860903760753175,2015-07-23 15:51:49.585999872,,,,,,,,,,,,,,,,,,-77.84884417532983,40.86078425103194,,,1,1,,,,,,,0.7676087242023004,1.1225444156982078,17.37860036992855,,902.4891939955498,0.7676087242023004,2.687446635745838,1.1225444156982078,325.32734184696875,,,,,,,,,,,,0.4475168883800506,-132.17076110839844,,,,,1,-77.84876608978924,40.860903760753175,,22.268106512378207,41.76992394071006,2.034104456126469,296.843810993671,39.85042214533457,-79.19906729264092,0.9974727630615234,426078,295.34252630000003,627881,39.85044695317136,-77.83675603664557,0.5297025442123413,552.3364247584499,95.55955190003164,308.07123278,,2015-07-23 15:51:49.585999872+00:00,2015-07-23 16:00:00+00:00,2015-07-23,185.35442390819736,96.58336570833336,40.5038516354607,21.1055028125,8.978064395833334,243.5410645833333,116.87413166666664,8.704724643841935,201507231200.0,201507231230.0,-0.0695,43.1876,240.776,-5.42583,5.46256,-0.115592,1.29999,-0.0339,1.59695,7.56738,10.4827,37.5426,0.245861,-29.6295,-0.0864,23.8723,22.8283,98.1035,46.2124,375.458,370.557,13.2275,13.0548,0.932118,1.17368,0.391635,0.44085,26.1554,47.8205,57.2289,71.6438,1.0,0.0,0.0,0.0,22.8283,-9999.0,489.576,603.459,109.666,450.549,454.766,1028.8,27.1722,30.6376,75.2839,93.311,-9999.0,0.0,PA,CVM,10.1,1006.35,40.8608,-77.8488,378.0,US-HWB,2015-07-23 12:00:00,2015-07-23 12:00:00-04:00,2015-07-23
8,8,0,0,LC08_016032_20150808,-77.84876608978924,40.860903760753175,2015-08-08 15:51:52.568000000,0.0406525,0.039525,0.06785,0.0315775,0.6075925,0.2169825,0.0832224999999999,299.57061704,21824.0,0.2228796475,0.9011921710968912,0.9596283536138396,0.7584666906607441,299.57061704,7.011123666922817,0.98,0.98,-77.84884417532983,40.86078425103194,-0.9011921882629396,0.9011921882629396,1,1,-0.7990946675697784,-299.57061704,299.57061704,302.1073207407716,-302.1073207407716,302.1073207407716,0.7550233031347215,1.4346583678167848,21.626685592759312,447.5133447508719,865.3946910112892,0.7550233031347215,2.8899602454415154,1.4346583678167848,335.8244759951814,554.1104690547274,30.91852366388803,0.2130097800739612,0.1307454702179078,79.12164827258869,25.246065101029743,1.6976921297737988,55.88464418431706,0.2130097800739612,0.1307454702179078,0.2254453753433546,0.3524725437164306,-104.7868423461914,0.6571701858646437,2.7850479148001868,444.0702971182508,0.8487712798913933,0,-77.84876608978924,40.860903760753175,92.38567293860328,23.46804358104854,49.64284093802834,0.5922397607306151,180.9312769631753,40.998051044724775,-77.10756131026157,0.909027636051178,256273,297.2907977,376301,40.017209005341336,-77.53259974820867,0.4410692453384399,509.37130794933984,106.86967264360742,313.53322874,78.98395886373329,2015-08-08 15:51:52.568000+00:00,2015-08-08 16:00:00+00:00,2015-08-08,181.04959607832768,93.00400814583332,10.634170958295096,5.4627049375,3.6573059166666666,188.44791633333327,86.32389733333332,-6.893156619956125,201508081200.0,201508081230.0,-0.0434,13.3754,164.96,-23.1222,3.74947,0.869089,-1.72072,-0.0317,0.971252,2.76579,48.7608,34.7563,0.195247,-47.9664,-0.0534,25.7414,24.7466,98.0952,61.5454,369.615,362.83,19.9024,19.514,0.432366,0.646918,0.168045,0.272859,-9999.0,-9999.0,-9999.0,-9999.0,1.0,1.0,1.0,1.0,24.7466,61.5454,441.399,566.747,122.951,470.285,472.683,1020.46,22.3334,23.8915,22.6711,43.2672,-9999.0,0.0,PA,CVM,10.1,1006.35,40.8608,-77.8488,378.0,US-HWB,2015-08-08 12:00:00,2015-08-08 12:00:00-04:00,2015-08-08
9,9,1,1,LC08_016032_20150824,-77.84876608978924,40.860903760753175,2015-08-24 15:52:00.654000128,,,,,,,,,,,,,,,,,,-77.84884417532983,40.86078425103194,,,1,1,,,,,,,0.7371629286114343,1.9502876916817653,28.644754782876333,,814.0669753144042,0.7371629286114343,3.107175866172317,1.9502876916817653,335.7912375392352,,,,,,,,,,,,0.3299151659011841,-97.89805603027344,,,,,1,-77.84876608978924,40.860903760753175,,24.676116527039632,62.767212918794186,1.458449550071761,223.2625830278101,40.768661092031714,-76.96807072800527,0.9187390208244324,162875,296.73707846,293910,39.88320691527265,-77.80092394679984,0.4049383699893951,460.6281854830721,96.72775328976272,312.65137958,,2015-08-24 15:52:00.654000128+00:00,2015-08-24 16:00:00+00:00,2015-08-24,171.7329597774117,86.30213235416666,31.63061169553331,15.8955464375,1.8467837916666667,190.49879479166668,86.45433220833335,-14.711560472945004,201508241200.0,201508241230.0,-0.140523,55.955,281.529,-13.2401,6.40533,0.017,-1.52947,0.0897,1.99033,6.12049,254.315,27.882,0.352618,-67.4047,-0.038,27.389,25.7601,97.7647,63.8982,382.506,374.713,22.0681,21.5916,0.885621,0.991747,0.423939,0.390925,32.7579,59.8919,71.6753,89.729,0.0,0.0,0.0,0.0,25.7601,63.8982,512.593,643.032,128.352,466.508,468.596,1097.19,27.3115,22.6011,25.7115,34.5096,-9999.0,0.0,PA,CVM,10.1,1006.35,40.8608,-77.8488,378.0,US-HWB,2015-08-24 12:00:00,2015-08-24 12:00:00-04:00,2015-08-24
10,10,0,0,LC08_016032_20150909,-77.84876608978924,40.860903760753175,2015-09-09 15:52:06.823000064,0.0409275,0.0410099999999999,0.0677674999999999,0.0350975,0.49476,0.23032,0.091005,301.1531603,21824.0,0.1937693575,0.8675209844156211,0.82213543716062,0.6695040333249987,301.1531603,3.692191667773253,0.98,0.98,-77.84884417532983,40.86078425103194,-0.8675209879875183,0.8675209879875183,1,1,-0.7590606681451129,-301.1531603,301.1531603,303.5422518418781,-303.5422518418781,303.5422518418781,0.7360987960517513,1.7001595113075691,25.24033848027706,457.0448657724372,771.0180283682644,0.7360987960517513,4.036747897813782,1.7001595113075691,336.5846449714382,494.4264466900011,34.99316898874883,0.1292008210582894,0.3791013841014427,146.4841346203568,13.93830812977764,1.744788778080007,19.27364126922795,0.1292008210582894,0.3791013841014427,0.492505104349156,0.2619167268276214,-77.75800323486328,0.463772665293719,2.443388563607451,312.9491430808955,0.6811634208273253,0,-77.84876608978924,40.860903760753175,100.85526994899638,29.13377066513716,42.11705943361834,1.8426549060425623,194.92476387756304,41.243713115002926,-78.4034424701812,0.8997981548309326,139331,296.8806353,240161,39.78110588082806,-77.22477622039627,0.4783707559108734,439.8106912638292,87.82211356888625,316.141178,69.29449966390732,2015-09-09 15:52:06.823000064+00:00,2015-09-09 16:00:00+00:00,2015-09-09,141.3809746374456,66.72763447916667,-3.289588744666541,-1.5525885,6.36237375,130.39409047916666,58.85667074999999,-14.0596691636124,201509091200.0,201509091230.0,-0.0995,13.7893,271.977,-20.8065,6.20971,1.37233,0.0969,-0.0831,1.27756,5.13242,210.796,46.3383,0.29853,-166.134,-0.0154,31.2201,29.3567,97.827,57.6892,384.057,375.318,24.6304,24.0383,0.831073,1.16904,0.289913,0.389223,38.8589,71.0465,85.0245,106.441,1.0,1.0,1.0,1.0,29.3567,57.6892,550.161,663.078,110.04,490.533,493.41,1321.15,15.783,29.1497,36.0438,45.2385,-9999.0,0.0,PA,CVM,10.1,1006.35,40.8608,-77.8488,378.0,US-HWB,2015-09-09 12:00:00,2015-09-09 12:00:00-04:00,2015-09-09
11,11,0,0,LC08_016032_20151011,-77.84876608978924,40.860903760753175,2015-10-11 15:52:14.671000064,0.0171125,0.021595,0.04893,0.03001,0.3731275,0.17642,0.0801974999999999,292.29365246,21824.0,0.1443773225,0.8511177947970604,0.6165744218224946,0.5698758494692114,292.29365246,1.7490074078881497,0.9674900740788814,0.9757717244460308,-77.84884417532983,40.86078425103194,-0.8511177897453308,0.8511177897453308,1,1,-0.7681358582657577,-292.29365246,292.29365246,294.45722665731995,-294.45722665731995,294.45722665731995,0.7352179776725531,0.9826764103580344,15.47490076726974,400.4120270080308,652.1508367903814,0.7352179776725531,1.7475916894177657,0.9826764103580344,303.41912913543945,451.1380138246169,22.731266998171435,0.0738072933791446,0.2818265839131588,202.36402774360832,15.943635510925787,2.652553048137122,25.92609959069885,0.0738072933791446,0.2818265839131588,0.3985279889102031,0.5098912119865417,-147.4886016845703,0.332050394274543,1.626133578641685,226.04271908283712,0.5276357591408585,0,-77.84876608978924,40.860903760753175,87.41727766116513,15.380664253651808,56.23032063544698,1.4742698441254298,191.7942330039984,39.62682419957589,-78.66173837707787,0.866166353225708,546001,289.25503268,727118,40.016900954583896,-77.54664756040452,0.2617307305335998,407.0326404135615,55.19617099035119,298.87675898,46.11714829027819,2015-10-11 15:52:14.671000064+00:00,2015-10-11 16:00:00+00:00,2015-10-11,117.93719212018284,45.09617695833333,34.06107172785058,13.024085875,-5.273662708333334,152.28571020833334,99.43911008333336,5.561109068633279,201510111200.0,201510111230.0,-0.149867,85.1701,167.918,-12.9181,3.79316,1.51833,-0.141447,-0.120997,2.22102,7.46604,217.973,28.9082,0.358673,-46.5524,-0.055,18.7665,18.3546,97.8855,51.4683,392.671,388.88,11.1838,11.0601,1.17548,1.07635,0.471529,0.470896,30.4977,55.7596,66.73,83.538,0.0,0.0,0.0,0.0,18.3546,51.4683,566.382,704.472,133.311,413.856,418.635,1137.2,29.7834,16.9645,26.0459,38.8637,19.18,0.0,PA,CVM,10.1,1006.35,40.8608,-77.8488,378.0,US-HWB,2015-10-11 12:00:00,2015-10-11 12:00:00-04:00,2015-10-11
